Rainfall,Water Level,Elevation,Slope,Distance from River,Flood Status
19.93220339,4399.3875,5.9,2.10017395,81.68,1
19.93220339,4399.3875,5.1,1.35270059,55.27,1
19.93220339,4399.3875,2.5,1.39190221,14.0,2
19.93220339,4399.3875,2.2,1.85558569,39.27,2
19.93220339,4399.3875,2.0,0.6562494,69.3,2
19.93220339,4399.3875,1.8,0.6562494,106.75,2
19.93220339,4399.3875,3.2,1.46716166,131.6,2
19.93220339,4399.3875,3.8,2.20014167,152.05,2
19.93220339,4399.3875,4.4,0.73370111,167.96,2
19.93220339,4399.3875,5.0,0.32813546,207.46,2
19.93220339,4399.3875,5.0,1.46716166,218.15,2
19.93220339,4399.3875,5.0,2.07442665,216.35,2
19.93220339,4399.3875,4.5,1.35270059,56.45,2
19.93220339,4399.3875,5.7,0.32813546,38.16,1
19.93220339,4399.3875,7.9,2.10017395,56.62,2
19.93220339,4399.3875,5.8,1.67271197,136.4,1
19.93220339,4399.3875,5.6,2.10017395,218.4,1
19.93220339,4399.3875,3.9,3.228374,272.2,2
19.93220339,4399.3875,2.8,3.61959124,319.2,1
19.93220339,4399.3875,3.8,1.31232667,347.5,2
19.93220339,4399.3875,4.5,6.53430367,380.15,1
19.93220339,4399.3875,1.4,4.68774796,428.2,1
19.93220339,4399.3875,1.3,2.96876574,441.6,1
19.93220339,4399.3875,1.7,4.39381409,459.1,1
19.93220339,4399.3875,2.9,1.76652288,474.5,1
19.93220339,4399.3875,5.8,0.46404853,515.2,1
19.93220339,4399.3875,5.6,0.92803621,507.5,1
19.93220339,4399.3875,3.2,1.67271197,471.5,1
19.93220339,4399.3875,3.5,1.67271197,390.2,2
19.93220339,4399.3875,5.2,1.91265225,344.6,1
19.93220339,4399.3875,5.4,1.64024699,290.07,1
19.93220339,4399.3875,6.1,2.10017395,240.26,2
19.93220339,4399.3875,7.0,3.6637044,195.2,2
19.93220339,4399.3875,6.8,6.20166731,90.03,2
19.93220339,4399.3875,6.8,6.34523964,46.71,2
19.93220339,4399.3875,5.0,3.42179823,11.893,2
19.93220339,4399.3875,4.1,2.96876574,49.62,2
19.93220339,4399.3875,4.9,3.5296936,114.2,2
